worksite	h1bcount	population
ALABAMA	1873	4853875
ALASKA	213	737709
ARIZONA	8746	6817565
ARKANSAS	3015	2977853
CALIFORNIA	115743	38993940
COLORADO	6827	5448819
CONNECTICUT	10142	3584730
DELAWARE	3760	944076
DISTRICT OF COLUMBIA	4099	670377
FLORIDA	20401	20244914
GEORGIA	23026	10199398
HAWAII	598	1425157
IDAHO	778	1652828
ILLINOIS	32768	12839047
INDIANA	6150	6612768
IOWA	3207	3121997
KANSAS	2598	2906721
KENTUCKY	2403	4424611
LOUISIANA	2702	4668960
MAINE	718	1329453
MARYLAND	10891	5994983
MASSACHUSETTS	23488	6784240
MICHIGAN	18318	9917715
MINNESOTA	9975	5482435
MISSISSIPPI	792	2989390
MISSOURI	7182	6076204
MONTANA	205	1032073
NEBRASKA	1815	1893765
NEVADA	1350	2883758
NEW HAMPSHIRE	2078	1330111
NEW JERSEY	47662	8935421
NEW MEXICO	1005	2080328
NEW YORK	55017	19747183
NORTH CAROLINA	17413	10035186
NORTH DAKOTA	575	756835
OHIO	16066	11605090
OKLAHOMA	2046	3907414
OREGON	4803	4024634
PENNSYLVANIA	22202	12791904
RHODE ISLAND	2881	1055607
SOUTH CAROLINA	2801	4894834
SOUTH DAKOTA	398	857919
TENNESSEE	5161	6595056
TEXAS	62550	27429639
UTAH	2702	2990632
VERMONT	351	626088
VIRGINIA	19045	8367587
WASHINGTON	21665	7160290
WEST VIRGINIA	579	1841053
WISCONSIN	6898	5767891
WYOMING	166	586555
PUERTO RICO	214	3473181
